Tanggal,Waktu,Lokasi Kebakaran,Kelurahan,Kecamatan,Benda Yang Terbakar,Bangunan Yang Terselamatkan,Penyebab Kebakaran,Korban Meninggal,Korban Luka,Mobil Unit Yang Bertugas,Sumber Air PDAM (m3),Sumber Air Lainnya (m3),Taksiran Kerugian,Luas Areal (M2)
01/16/2018,20:37-21:20+0700,Jl. Bojong Mekar RT. 01 RW. 15,Cigadung,Cibeunying Kaler,Sebuah Rumah 2 Lantai,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Rescue 1 PMI,-,-,50000000,30
01/17/2018,11:48-12:30+0700,Jl. Binong Jati No. 8 RT. 08 RW. 01,Binong Jati,Batununggal,Sebuah Mobil Avanza,-,Korsleting Listrik Dalam Penyelidikan,-,-,2 Pancar 1 Rescue,-,-,55000000,2
01/18/2018,02:30-03:10+0700,Jl. Sarimanis Blok 16 No. 129 RT. 02 RW. 07,Sarijadi,Sukasari,"Dinding rumah, sofa dan sebuah meja",3 Buah Rumah,-,-,-,1 Rescue,-,-,-,-
01/20/2018,01:18-02:15+0700,Jl. Padjadjaran No. 2 (Pabrik Kina),Pajajaran,Cicendo,-,-,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 PMI 1 Dinkes,-,-,-,-
01/24/2018,17:39-19:10+0700,Jl Bogor - Jl. Jakarta,Kebon Waru,Batununggal,Sebuah Kabel Pada Jaringan Listrik,-,Korsleting Listrik,-,-,2 Rescue,-,-,-,1
01/26/2018,17:39-19:10+0700,Jl. Bah Jaksa RT. 03 RW. 01,Cipadung,Cibiru,Sebuah Rumah 2 Lantai,3 Buah Rumah,Korsleting Listrik,-,-,3 Pancar 1 Rescue,4,-,50000000,45
01/26/2018,21:25-22:15+0700,Jl. Batu Indah I No. 12,Batununggal,Bandung Kidul,Bagian Eternit Ruang Karoke Sebuah Rumah,3 Buah Rumah,Korsleting Listrik,-,-,1 Pancar 1 Rescue,4,-,10000000,9
01/28/2018,08:44-09:10+0700,Jl. Sulanjana No. 30 Depan Rumah Makan Vandel,Taman Sari,Bandung Wetan,Sebuah Lampu LED Mobil Siaran Urban Radio,-,Korsleting Listrik,-,-,2 Pancar 2 Rescue,-,-,10000000,-
01/31/2018,10:40-11:15+0700,Jl. Gunung Batu No. 58 RT. 03 RW. 02,Sukaraja,Cicendo,Bagian Dapur Sebuah Rumah,3 Buah Rumah,Kebocoran Gas,-,-,1 Pancar 1 Rescue 1 PMI 1 Dinkes,-,-,10000000,7.5
02/01/2018,21:03-21:40+0700,Jl. Sadang Serang RT. 04 RW. 15,Sadang Serang,Coblong,Sebuah Tabung Gas,Sebuah Rumah,Kebocoran Tabung,-,5,2 Pancar 1 Rescue,-,-,5000000,4
02/01/2018,22:55-00:00+0700,Pasar Ciwastra,Mekar Jaya,Rancasari,4 (Empat) Buah Kios Pasar,Bagian Kios Lainnya,Korsleting Listrik,-,-,2 Pancar,8,-,50000000,40
02/03/2018,15:40-17:05+0700,Komplek Taman Holis Indah I Blok F5 No. 56 RT. 05 RW. 07,Cigondewah Rahayu,Bandung Kulon,Sebuah Rumah 2 Lantai,3 Buah Rumah,Dalam Penyelidikan,-,1,4 Pancar 2 Rescue,16,-,150000000,75
02/05/2018,08:30-09:30+0700,Jl. Cimuncang No. 11 RT. 07 RW. 05,Padasuka,Cibeunying Kidul,Sebuah Rumah 3 Lantai,3 Buah Rumah,Korsleting Listrik,-,-,9 Pancar 2 Rescue 1 Quick Respon 2 Tangki 2 Komando 1 Dinkes 2 PMI,44,-,150000000,120
02/06/2018,22:55-00:40+0700,Jl. Holis No. 294 RT. 01 RW. 04,Caringin,Bandung Kulon,Sebuah Gudang Kimia,-,Pengoplosan Zat Ki,-,-,3 Pancar 2 Rescue 1 PMI 1 Dinkes,12,-,25000000,25
02/09/2018,15:40-16:25+0700,Jl. A.H. Nasution No. 922 RT. 01 RW. 10,Antapani Wetan,Antapani,Bagian Gudang Penyimpanan Gelas Sebuah Pabrik,-,Dalam Penyelidikan,-,-,6 Pancar 1 Rescue 1 Tangki 2 Komando 1 PMI,8,-,200000000,160
02/13/2018,05:10-05:52+0700,Jl. A.H. Nasution Gg. Swadaya RT. 02 RW. 03,Cipadung,Cibiru,Sebuah Mobil Sedan KIA RIO D 1567 AAH,-,Korsleting Listrik A,-,-,1 Pancar,4,-,10000000,-
02/13/2018,11:40-11:55+0700,Jl. Alani Dalam No. 22/34B RT. 03 RW. 12,Kebon Pisang,Sumur Bandung,Dinding Sebuah Kamar,3 Buah Rumah,Korsleting Listrik,-,-,1 Pancar 1 Rescue 1 Komando 1 PMI,4,-,1000000,1
02/13/2018,13:45-14:30+0700,Jl. Sulaksana RT. 03 RW. 11,Cicaheum,Kiaracondong,Sebuah Gerobak Baso Tahu,-,Kebocoran Tabung,-,3,2 Pancar 1 Rescue 1 PMI,4,-,2000000,1
02/13/2018,14:45-15:50+0700,Jl. Cigondewah Kaler RT. 01 RW. 10,Cigondewah Kaler,Bandung Kulon,Sebuah Bedeng Kontrakan,3 Buah Rumah,Bakaran Sampah,-,-,5 Pancar 1 Rescue 1 PMI,20,-,500000000,500
02/15/2018,13:00-15:50+0700,Kp. Sukasari Gg. Mesjid No. 126/127A RT. 03 RW. 14,Kebon Jayanti,Kiaracondong,Tabung Gas,Sebuah Rumah,Kebocoran Tabung,-,-,1 Pancar 1 Rescue,-,-,-,-
02/15/2018,14:15-14:42+0700,Jl. Ampera Depan Bank BRI RT. 01 RW. 01,Sekejati,Buahbatu,Sebuah Mobil BMW D 1584 NE,-,Korsleting Listrik A,-,-,1 Pancar,4,-,50000000,-
02/16/2018,11:05-11:55+0700,Jl. Kanayakan No. 18 RT. 20 RW. 08,Dago,Coblong,Sebuah Kamar Bagian Belakang,Sebuah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Komando,12,-,75000000,32
02/18/2018,07:25-09:15+0700,Jl. Jati Indah No. 18 RT. 03 RW. 11,Gumuruh,Batununggal,Sebuah Rumah Merangkap Bengkel,3 Buah Rumah,Bakaran Sampah,-,-,6 Pancar 1 Rescue 1 PMI 1 Dinkes,24,-,50000000,28
02/21/2018,10:00-14:55+0700,Jl. Banceuy No. 59 RT. 05 RW. 02,Braga,Sumur Bandung,Bagian Gudang Sebuah Toko Plastik,3 Buah Rumah,Dalam Penyelidikan,-,1,4 Pancar 1 Rescue 1 Tangki 1 Komando 1 PMI 1 Dinkes,8,-,50000000,25
02/21/2018,14:50-15:55+0700,Jl. Bukit Sari No. 42 RT. 06 RW. 02,Hegarmanah,Cidadap,Sebuah Rumah 2 Lantai,3 Buah Rumah,Bakaran Sampah,-,-,3 Pancar 1 PMI 1 Dinkes,12,-,20000000,18
02/22/2018,03:18-03:50+700,Jl. Cikutra Barat (Depan Makam Pahlawan) RT. 01 RW. 07,Sukaluyu,Cibeunying Kaler,Sebuah Mobil AGYA E 1241 LC,-,Korsleting Listrik A,-,-,1 Pancar 1 Rescue,4,-,100000000,-
02/24/2018,20:00-20:35+0700,Jl. Dago Jati No. 38 RT. 02 RW. 06,Dago,Coblong,Sebuah Tabung Gas,Sebuah Rumah,Ledakan Tabung G,-,-,1 Rescue,-,-,-,-
02/28/2018,02:37-05:10+0700,Jl. Cibadak Gg. Ibu Aisah RT. 02 RW. 03,Cibadak,Astanaanyar,Sebuah Rumah 2 Lantai,3 Buah Rumah,Bakaran Obat Nyamuk,-,-,9 Pancar 2 Rescue 2 PMI 1 Dinkes,40,-,150000000,70
03/01/2018,16:20-17:30+0700,Jl. Ir. H. Djunda (Depan RS. Santo Boromeous),Lebak Gede,Coblong,Sebuah Kabel Jaringan Provider Handphone,-,Korsleting Listrik,-,-,1 Pancar 1 Rescue 1 Komando,APAR,APAR,1000000,1
03/02/2018,14:15-14:30+0700,Jl. L.R.E. Martadinata 142,-,Sumur Bandung,Sebuah Kontrol Panel Genset,Bagian Gedung Lainnya,Korsleting Listrik,-,-,1 Pancar 1 Rescue,-,-,2000000,1
03/03/2018,11:35-12:50+0700,Jl. Gelap Nyawang RT. 02 RW. 04,Lebak Siliwangi,Coblong,6 Buah Kios,Bagian Gedung Lainnya,Kebocoran Tabung,-,-,5 Pancar 1 Rescue 1 Tanki 1 Dinkes 1 Pancar ITB,20,-,250000000,250
03/03/2018,23:40-23:50+0700,Jl. Gatot Subroto 237 RT. 03 RW. 03,Cibangkong,Batununggal,Sebuah Meteran Kwh,Bagian Gedung Lainnya,Korsleting Listrik,-,-,3 Pancar 1 Rescue,-,-,-,-
03/04/2018,21:30-22:00+0700,Jl. Cibolerang Komp. Sawargi RT. 05 RW. 01,Cigondewah Rahayu,Bandung Kulon,Sebuah Panel Listrik,-,Korsleting Listrik,-,-,2 Pancar 1 Dinkes,-,-,-,-
03/07/2018,01:00-01:30+0700,Jl. Sekolah Internasional No. 1-6 RT. 007 RW. 007,Cicaheum,Kiaracondong,Kantin Sebuah Sekolah,Bagian Gedung Lainnya,Korsleting Listrik,-,-,2 Pancar 1 Rescue 1 Dinkes 1 PLN,8,-,25000000,12
03/20/2018,23:15-24:30+0700,Jl. Aruna (Depan Alun-alun Cicendo) RT. 11 RW. 01,Arjuna,Cicendo,Sebuah Kios Service Meteran Air,-,Dalam Penyelidikan,-,-,4 Pancar 1 Komando 1 Dinkes,16,-,6000000,6
03/22/2018,16:17-16:40+0700,Jl. A. Yani Gg. Koper No. 105 RT. 01 RW. 11,Kebon Pisang,Sumur Bandung,Sebuah Rumah Kosong,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar,4,-,100000000,100
03/31/2018,-,Jl. Terusan Bukit Dago Selatan No. 5 RT. 01 RW. 03,Dago,Coblong,Sebuah Lemari Pakaian,Sebuah Rumah,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Dinkes 1 PLN,8,-,1000000,8
04/01/2018,20:37-21:30+0700,Jl. Cikutra No. 166 RT. 06 RW. 01,Sukapada,Cibeunying Kidul,Sebuah Rumah,3 Buah Rumah,Puntung Rokok Menyambar Kursi,-,-,3 Pancar 1 Rescue,12,-,100000000,42
04/02/2018,06:05-08:00+0700,Jl. Kalipah Apo No. 54 RT. 04 RW. 04,Karang Anyar,Astanaanyar,Sebuah Rumah Dijadikan Gudang Kertas,3 Buah Rumah,Dalam Penyelidikan,-,-,6 Pancar 2 Rescue 1 Tangki 1 Komando 1 Dinkes,24,-,100000000,100
04/03/2018,06:55-08:00+0700,Jl. Gedebage Selatan RT. 02 RW. 02,Rancabolang,Gedebage,Sebuah Rumah Merangkap Salon,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar,8,-,20000000,16
04/08/2018,09:30-10:15+0700,Jl. Setiabudhi 168 RT. 03 RW. 05,Hegarmanah,Cidadap,Sebuah Toko Roti ROTIKU Bagian Dapur,3 Buah Rumah,Kebocoran Tabung,-,-,3 Pancar 1 Rescue,12,-,60000000,30
04/11/2018,06:08-07:20+0700,Jl. Pasir Impun Barat No. 6 RT. 07 RW. 06,Karang Pawulang,Mandalajati,Sebuah Kantor Koperasi Kredit Tunas Harapan,3 Buah Rumah,Korsleting Listrik,-,-,7 Pancar 2 Rescue 1 Tangki 1 Dinkes 1 PMI,32,-,100000000,56
04/11/2018,08:50-10:10+0700,Jl. Cisitu Lama No. 9 RT. 07 RW. 12,Dago,Coblong,Sebuah Rumah,3 Buah Rumah,Kebocoran Tabung,-,-,2 Pancar 1 Rescue 1 PMI 1 Dinkes,12,-,65000000,65
04/12/2018,05:08-05:55+0700,Jl. Otto Iskandardinata No. 243 RT. 05 RW. 01,Balong Gede,Regol,Sebuah Toko Emas ABC dan beberapa bahan material Bagian Lantai 3,3 Buah Rumah,Korsleting Listrik,-,-,3 Pancar 1 Rescue 1 PMI,12,-,250000000,120
04/15/2018,02:30-03:15+0700,Jl. Otto Iskandardinata Lapangan Tegallega,Balong Gede,Regol,3 Buah Kios,-,Dalam Penyelidikan,-,-,2 Pancar,8,-,45000000,45
04/19/2018,06:35-09:00+0700,Jl. Lodaya No. 87 RT. 05 RW. 01,Lingkar Selatan,Lengkong,Sebuah Rumah Semi Permanen,3 Buah Rumah,Korsleting Listrik,-,-,9 Pancar 1 Tangki 2 Rescue 2 Komando 2 PMI 1 Dinkes,40,-,500000000,500
04/21/2018,11:40-12:08+0700,Jl. Jalak No. 7 RT. 03 RW. 08,Sadang Serang,Coblong,Sebuah AC,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar  1 Rescue,4,-,1000000,-
04/21/2018,16:50-17:15+0700,Jl. Pahlawan No. 35,Cigadung,Cibeunying Kaler,Sebuah Kios Tambal Ban dan Sebuah Kompresor,-,Tumpahan Bensin,-,-,2 Pancar 1 Rescue 1 PLN,8,-,15000000,15
04/29/2018,06:47-08:00+0700,Jl. H. Sahroni Gg. Cendrawasih 2 RT. 03 RW. 03,Cikutra,Cibeunying Kidul,Sebuah Rumah,3 Buah Rumah,Bakaran Sampah,-,-,5 Pancar 1 Rescue 1 Dinkes,20,-,80000000,80
02-Mei-18,12:58-13:30+0700,Jl. Cisitu Lama RT. 04 RW. 12,Dago,Coblong,Sebuah Mobil Mazda W 1868 PJ,-,Korsleting Listrik A,-,-,1 Pancar,4,-,50000000,-
02-Mei-18,23:11-00:35+0700,Jl. Inhoftank No. 32 RT. 01 RW. 05,Pelindung Hewan,Astanaanyar,Sebuah Ruko,3 Buah Rumah,Dalam Penyelidikan,-,-,6 Pancar 1 Rescue 1 Tangki 1 Komando 1 PMI 1 Dinkes,28,-,150000000,105
03-Mei-18,10:55-15:37+0700,Jl. Karees Kulon RT. 03 RW. 06,Malabar,Lengkong,26 Buah Rumah,60 Buah Rumah,Kebocoran Tabung,1,1,15 Pancar 2 Rescue 1 Tangki 2 Komando 2 PMI 1 Dinkes,64,-,300000000,200
05-Mei-18,03:13-04:00+0700,Jl. Cimuncang No. 14 RT. 01 RW. 12,Pasir Layung,Cibeunying Kidul,Sebuah Rumah Dijadikan Kantor,3 Buah Rumah,Dalam Penyelidikan,-,-,4 Pancar 2 Rescue 1 PMI,8,-,12000000,6
