"Tanggal","Durasi (Menit)","Kecamatan","Penyebab Kebakaran"
"Sunday, August 19, 2018","45","Arcamanik","Pembakaran"
"Sunday, August 19, 2018","109"," Panyileukan","Pembakaran"
"Monday, August 20, 2018","33","Bojongloa Kaler","Rokok"
"Tuesday, August 21, 2018","42","Coblong","Dalam Penyelidikan"
"Wednesday, August 22, 2018","125","Babakan Ciparay","Dalam Penyelidikan"
"Friday, August 24, 2018","109","Cicendo","Lilin"
"Saturday, August 25, 2018","70","Ujungberung","Dalam Penyelidikan"
"Saturday, August 25, 2018","23","Bojongloa kidul","Dalam Penyelidikan"
"Saturday, August 25, 2018","42","Bandung kidul","Pembakaran Sampah"
"Monday, August 27, 2018","21","Cibeunying Kaler","Korsleting Listrik"
"Saturday, September 01, 2018","52","Cicendo","Korsleting Listrik"
"Monday, September 03, 2018","385","Panyileukan","Dalam Penyelidikan"
"Tuesday, September 04, 2018","30","Antapani","Rokok"
"Wednesday, September 05, 2018","29","Cinambo","Pembakaran Sampah"
"Thursday, September 06, 2018","50","Arcamanik","Rokok"
"Friday, September 07, 2018","38","Antapani","Korsleting Listrik"
"Saturday, September 08, 2018","42","Cidadap","Korsleting Listrik"
"Sunday, September 09, 2018","55","Bandung Kulon","Korsleting Listrik"
"Sunday, September 09, 2018","20","Cidadap","Dalam Penyelidikan"
"Sunday, September 09, 2018","50","Panyileukan","Pembakaran Sampah"
"Monday, September 10, 2018","27","Bandung Kidul","Pembakaran Ban"
"Tuesday, September 11, 2018","35","Bandung Kidul"," -"
"Wednesday, September 12, 2018","92","Mandalajati"," -"
"Thursday, September 13, 2018","112","Ujungberung"," -"
"Saturday, September 15, 2018","163","Babakan Ciparay"," -"
"Sunday, September 16, 2018","169"," -"," -"
"Sunday, September 16, 2018","23","Coblong","Rokok"
"Sunday, September 16, 2018","40","Panyileukan","Pembakaran Samp"
"Monday, September 17, 2018","146","Regol","Dalam Penyelidikan"
"Tuesday, September 18, 2018","80","Mandalajati","Kompor Gas"
"Tuesday, September 18, 2018","50","Rancasari","Dalam Penyelidikan"
"Wednesday, September 19, 2018","53","Coblong","Sebuah Tungku Ka"
"Wednesday, September 19, 2018","25","Astanaanyar","Percikan Api Las"
"Thursday, September 20, 2018","112","Gedebage","Pembakaran Sampah"
"Saturday, September 22, 2018","128","Cimenyan","Dalam Penyelidika"
"Saturday, September 22, 2018","64","Cibeunying Kidul","Pembakaran Sampah"
"Sunday, September 23, 2018","73","Ujungberung","Dalam Penyelidikan"
"Monday, September 24, 2018","34","Sumur Bandung","Dalam Penyelidikan"
"Monday, September 24, 2018","73","Sukajadi","Korsleting Listrik"
"Thursday, September 27, 2018","60","Ujungberung","Pembakaran Sampah"
"Thursday, September 27, 2018","120","Coblong","Dalam Penyelidikan"
"Saturday, September 29, 2018","157","Mandalajati","Dalam Penyelidikan"
"Sunday, September 30, 2018","51","Antapani","Dalam Penyelidikan"
"Sunday, September 30, 2018","40","Bandung Wetan","Kebocoran Tabung"
"Monday, October 01, 2018","75","Coblong","Dalam Penyelidikan"
"Tuesday, October 02, 2018","80","Bojongloa Kaler","Dalam Penyelidikan"
"Thursday, October 04, 2018","31","Cibeunying Kidul","Pembakaran Sampah"
"Thursday, October 04, 2018","104","Cibeunying Kidul","Dalam Penyelidikan"
"Friday, October 05, 2018","30","Batununggal","Kebocoran Tabung"
"Friday, October 05, 2018","175","Sukajadi","Dalam Penyelidikan"
"Saturday, October 06, 2018","55"," Babakan Ciparay","Pembakaran Tungku Buatan"
"Sunday, October 07, 2018","55","Rancasari","Kebocoran Tabung"
"Sunday, October 07, 2018","92","Sukajadi","Dalam Penyelidikan"
"Monday, October 08, 2018","55","Cibeunying Kidul","Korsleting Listrik"
"Tuesday, October 09, 2018","40"," Cidadap","Pembakaran Sampah"
"Wednesday, October 10, 2018","35","Kiaracondong","Dalam Penyelidikan"
"Thursday, October 11, 2018","35","Gedebage","Dalam Penyelidikan"
"Friday, October 12, 2018","45","Sukajadi","Selang Solar Bocor"
"Friday, October 12, 2018","25","Astanaanyar","Kebocoran Tabung"
"Saturday, October 13, 2018","124"," Cinambo","Dalam Penyelidikan"
"Monday, October 15, 2018","34","Mandalajati","Pembakaran Sampah"
"Monday, October 15, 2018","102","Andir","Dalam Penyelidikan"
"Tuesday, October 16, 2018","75","Mandalajati","Pembakaran Sampah"
"Wednesday, October 17, 2018","30","Sukasari","Dalam Penyelidikan"
"Friday, October 19, 2018","45","Sumur Bandung","Korsleting Listrik"
"Friday, October 19, 2018","25","Bandung Wetan","Korsleting Listrik"
"Friday, October 19, 2018","23"," Bandung Kidul","Dalam Penyelidikan"
"Saturday, October 20, 2018","35","Batununggal","Korsleting Listrik"
"Saturday, October 20, 2018","30","Babakan Ciparay","Pembakaran Sampah"
"Sunday, October 21, 2018","25","Bandung Wetan","Korsleting Listrik A"
"Sunday, October 21, 2018","42","Coblong","Rokok"
"Sunday, October 21, 2018","34","Sukasari","Korsleting Listrik"
"Monday, October 22, 2018","48","Panyileukan","Dalam Penyelidikan"
"Monday, October 22, 2018","35","Cinambo","Rokok"
"Tuesday, October 23, 2018","60","Buahbatu","Dalam Penyelidikan"
"Wednesday, October 24, 2018","20","Regol","Korsleting Listrik"
"Wednesday, October 24, 2018","45","Rancasari","Obat Nyamuk"
"Wednesday, October 24, 2018","140","Lengkong","Pembakaran Sampah"
"Thursday, October 25, 2018","28","Regol","Dalam Penyelidikan"
"Saturday, October 27, 2018","48","Cibeunying Kidul","Dalam Penyelidikan"
"Thursday, November 01, 2018","35","Kiaracondong","Kompor"
"Saturday, November 03, 2018","40"," -","Korsleting Listrik A"
"Saturday, November 03, 2018","81","Cibiru","Pembakaran Batu"
"Thursday, November 15, 2018","41","Cibeunying Kidul","Dalam Penyelidikan"
"Saturday, November 17, 2018","22","Cibeunying Kidul","Pembakaran Samp"
"Sunday, November 18, 2018","480","Babakan Ciparay","Dalam Penyelidika"
"Tuesday, November 20, 2018","31","Andir","Dalam Penyelidika"
"Tuesday, November 20, 2018","75","Antapani","Dalam Penyelidikan"
"Tuesday, November 27, 2018","35","Panyileukan","Korsleting Listrik A"
"Friday, December 07, 2018","90","Bojongloa Kaler","Dalam Penyelidikan"
"Friday, December 07, 2018","100","Andir","Dalam Penyelidikan"
"Tuesday, December 11, 2018","35","Batununggal","Pembakaran Sampah"
"Sunday, December 16, 2018","20","Astanaanyar","Korsleting Listrik"
"Sunday, December 16, 2018","20","Sukasari","Korsleting Listrik A"
"Sunday, December 16, 2018","53","Andir","Dalam Penyelidikan"
"Monday, December 17, 2018","17","Batununggal","Korsleting Listrik"
"Tuesday, December 18, 2018","25","Bandung Wetan","Perembetan Minyak Tanah Ke Api"
"Thursday, December 20, 2018","34","Coblong","Korsleting Listrik"
"Thursday, December 20, 2018","65","Sukasari","Kebocoran Tabung"
"Saturday, December 22, 2018","80","Mandalajati","Korsleting Listrik"
"Monday, December 24, 2018","77","Arcamanik","Dalam Penyelidikan"
"Tuesday, December 25, 2018","159","Panyileukan","Korsleting Listrik"
"Sunday, December 30, 2018","63","Cidadap","Dalam Penyelidikan"
"Sunday, December 30, 2018","167","Coblong","Dalam Penyelidikan"
"Thursday, January 03, 2019","47","Babakan Ciparay","Masih Dalam Penyelidikan"
"Friday, January 04, 2019","70","Cibeunying Kulon","Masih Dalam Penyelidikan"
"Sunday, January 06, 2019","92","Bandung Kidul","Masih Dalam Penyelidikan"
"Friday, January 11, 2019","52","Panyileukan","Masih Dalam Penyelidikan"
"Friday, January 12, 2018","65","Bandung Kulon","Masih Dalam Penyelidikan"
"Friday, January 12, 2018","38","Antapani","Pembakaran Sampah"
"Tuesday, January 15, 2019","175","Cidadap","Masih Dalam Penyelidikan"
"Tuesday, January 22, 2019","135","Bojongloa Kidul","Masih Dalam Penyelidikan"
"Saturday, January 26, 2019","40","Coblong","Masih Dalam Penyelidikan"
"Tuesday, January 29, 2019","125","Panyileukan","Masih Dalam Penyelidikan"
"Tuesday, February 05, 2019","179","Andir","Lilin"
"Thursday, February 07, 2019","65","Andir","Listrik"
"Friday, February 08, 2019","44","Astanaanyar","Kompor Gas"
"Friday, February 08, 2019","36","Cinambo","Masih Dalam Penyelidikan"
"Tuesday, February 12, 2019","65","Cicendo","Masih Dalam Penyelidikan"
"Wednesday, February 13, 2019","50","Bojongloa Kidul","Listrik (Setrikaan)"
"Thursday, February 14, 2019","60","Panyileukan","Masih Dalam Penyelidikan"
"Thursday, February 14, 2019","55","Bandung Kulon","Korsleting Listrik"
"Tuesday, February 19, 2019","60","Bojongloa Kidul","Listrik"
"Saturday, February 23, 2019","5","Andir","Kebocoran Selang Gas"
"Monday, February 25, 2019","105","Cidadap","Masih Dalam Penyelidikan"
"Tuesday, February 26, 2019","118","Kiaracondong","Korsleting Listrik"
"Friday, March 01, 2019","-","Lengkong","Korsleting Listrik"
"Wednesday, March 06, 2019","52","Babakan Ciparay","Masih Dalam Penyelidikan"
"Saturday, March 09, 2019","101","Regol","Masih Dalam Penyelidikan"
"Monday, March 11, 2019","30","Bandung Kidul","Korsleting Accu"
"Tuesday, March 12, 2019","71","Bojongloa Kidul","Masih Dalam Penyelidikan"
"Thursday, March 14, 2019","41","Gedebage","Masih Dalam Penyelidikan"
"Monday, March 18, 2019","45","Babakan Ciparay","Kebocoran Tabung Gas"
"Saturday, March 23, 2019","20","Bandung Wetan","Masih Dalam Penyelidikan"
"Sunday, March 24, 2019","84","Cibeunying Kaler","Masih Dalam Penyelidikan"
"Monday, March 25, 2019","136","Arcamanik","Masih Dalam Penyelidikan"
"Wednesday, March 27, 2019","45","Kiaracondong","Korsleting"
"Friday, March 29, 2019","60","Sumur Bandung","Percikan Api Instalasi Listrik Deep Fried"
"Friday, March 29, 2019","0","Regol","Kebocoran Gas"
"Friday, March 29, 2019","35","Babakan Ciparay","Korsleting Accu"
"Tuesday, April 02, 2019","26","Astanaanyar","Kompor"
"Wednesday, April 03, 2019","25","Batununggal","Listrik"
"Thursday, April 04, 2019","32","Lengkong","Dlm Penyelidikan"
"Thursday, April 04, 2019","22","Cinambo","Kompor"
"Saturday, April 06, 2019","25","Cinambo","Listrik"
"Sunday, April 07, 2019","19","Cibeunying Kaler","Kebocoran Gas"
"Monday, April 15, 2019","59","Cibeunying Kaler","Kebocoran Gas"
"Wednesday, April 17, 2019","30","Regol","Listrik"
"Thursday, April 18, 2019","113","Bojongloa Kaler","Dlm Penyelidikan"
"Saturday, April 20, 2019","53","Arcamanik","Dlm Penyelidikan"
"Monday, April 22, 2019","45","Bandung Kulon","Di Duga Di Bakar Orang Tidak Bertanggung Jawab"
"Friday, April 26, 2019","25","Batununggal","Kebocoran Tabung Gas"
"Saturday, April 27, 2019","36","Cibeunying Kidul","Kebocoran Tabung Gas"
"Saturday, April 27, 2019","25","Rancasari","Korsleting"
"Tuesday, April 30, 2019","23","Batununggal","Kebocoran Tabung Gas"
"Tuesday, April 30, 2019","30","Andir","Korsleting"
"Friday, May 03, 2019","40","Lengkong","Korsleting"
"Friday, May 03, 2019","30","Batununggal","Kebocoran Tabung Gas"
"Sunday, May 05, 2019","15","Cibeunying Kidul","Kebocoran Tabung Gas"
"Sunday, May 05, 2019","28","Bandung Kidul","Kebocoran Tabung Gas"
"Wednesday, May 08, 2019","60","Bojongloa Kaler","Masih Dalam Penyelidikan"
"Thursday, May 16, 2019","25","Batununggal","Masih Dalam Penyelidikan"
"Friday, May 17, 2019","30","Panyileukan","Mesin Yang Terlalu Overheat"
"Monday, May 20, 2019","30","Rancasari","Masih Dalam Penyelidikan"
"Saturday, May 18, 2019","-","Sumur Bandung","Masih Dalam Penyelidikan"
"Thursday, May 23, 2019","37","Babakan Ciparay","Masih Dalam Penyelidikan"
"Saturday, May 25, 2019","45","Sukajadi","Masih Dalam Penyelidikan"
"Saturday, May 25, 2019","105","Lengkong","Masih Dalam Penyelidikan"
"Tuesday, May 28, 2019","53","Lengkong","Korsleting"
"Saturday, June 01, 2019","15","Babakan Ciparay","Masih Dalam Penyelidikan"
"Sunday, June 02, 2019","135","Bandung Kulon","Masih Dalam Penyelidikan"
"Sunday, June 02, 2019","20","Cibeunying Kidul","Kebocoran Tabung Gas"
"Monday, June 03, 2019","30","Cinambo","Pembakaran Sampah"
"Tuesday, June 04, 2019","30","Sukajadi","Masih Dalam Penyelidikan"
"Tuesday, June 04, 2019","59","Husein Sastranegara","Masih Dalam Penyelidikan"
"Wednesday, June 05, 2019","56","Arcamanik","Kompor"
"Thursday, June 06, 2019","25","Batununggal","Korsleting Kelistrikan Dibagian Pengapian Mobil"
"Sunday, June 09, 2019","25","Sukasari","Diduga Dari Anak-Anak Yang Bermain Api"
"Sunday, June 09, 2019","285","Ujungberung","Masih Dalam Penyelidikan"
"Tuesday, June 11, 2019","33","Batununggal","Masih Dalam Penyelidikan"
"Thursday, June 13, 2019","27","Lengkong","Masih Dalam Penyelidikan"
"Thursday, June 13, 2019","38","Cinambo","Diduga Dari Pembakaran Lahan"
"Friday, June 14, 2019","224","Gedebage","Masih Dalam Penyelidikan"
"Tuesday, June 18, 2019","55","Panyileukan","Korsleting Sistem Ac Ruangan"
"Friday, June 21, 2019","36","Sumur Bandung","Masih Dalam Penyelidikan"
"Saturday, June 22, 2019","31","Regol","Masih Dalam Penyelidikan"
"Sunday, June 23, 2019","15","Cibeunying Kidul","Korsleting Listrik"
"Monday, June 24, 2019","29","Sukajadi","Korsleting Listrik"
"Monday, June 24, 2019","125","Andir","Masih Dalam Penyelidikan"
"Monday, June 24, 2019","23","Rancasari","Masih Dalam Penyelidikan"
"Tuesday, June 25, 2019","35","Cibeunying Kidul","Listrik Accu"
"Tuesday, June 25, 2019","55","Cicendo","Masih Dalam Penyelidikan"
"Saturday, June 29, 2019","14","Cicendo","Masih Dalam Penyelidikan"
"Sunday, June 30, 2019","25","Andir","Diduga Dari Pembakaran Sterofoam"
"Wednesday, July 03, 2019","70","Antapani","Pembakaran Sampah"
"Sunday, July 07, 2019","42","Cibeunying Kidul","Pembakaran Sampah"
"Tuesday, July 09, 2019","38","Rancasari","Masih Dalam Penyelidikan"
"Tuesday, July 09, 2019","30","Batununggal","Dari Petasan"
"Wednesday, July 10, 2019","390","Babakan Ciparay","Masih Dalam Penyelidikan"
"Sunday, July 14, 2019","20","Andir","Masih Dalam Penyelidikan"
"Tuesday, July 16, 2019","17","Bojongloa Kidul","Pembakaran Sampah"
"Thursday, July 18, 2019","120","Panyileukan","Listrik"
"Friday, July 19, 2019","22","Cibiru","Kebocoran Tabung Gas"
"Tuesday, July 23, 2019","-","Regol","Masih Dalam Penyelidikan"
"Tuesday, July 23, 2019","55","Lengkong","Masih Dalam Penyelidikan"
"Thursday, July 25, 2019","60","Cicendo","Masih Dalam Penyelidikan"
"Friday, July 26, 2019","20","Cicendo","Kebocoran Tabung Gas"
"Saturday, July 27, 2019","25","Andir","Diduga Dari Puntung Rokok"
"Saturday, July 27, 2019","110","Rancasari","Masih Dalam Penyelidikan"
"Wednesday, July 31, 2019","104","Cibeunying Kaler","Masih Dalam Penyelidikan"
"Friday, August 02, 2019","40","Arcamanik","Pembakaran Sampah"
"Saturday, August 03, 2019","80","Lengkong","Masih Dalam Penyelidikan"
"Saturday, August 03, 2019","19","Andir","Masih Dalam Penyelidikan"
"Saturday, August 03, 2019","26","Lengkong","Masih Dalam Penyelidikan"
"Sunday, August 04, 2019","58","Sukajadi","Rambatan Dari Pengolahan Bio Gas Rw. 03 (Tidak Terpakai)"
"Sunday, August 04, 2019","48","Arcamanik","Diduga Dari Lilin"
"Monday, August 05, 2019","10","Panyileukan","Diduga Kebocoran Selang Gas 3 Kg"
"Wednesday, August 07, 2019","34","Arcamanik","Masih Dalam Penyelidikan"
"Thursday, August 08, 2019","19","Buahbatu","Obat Nyamuk Baka"
"Thursday, August 08, 2019","342","Bandung Kidul","Korsleting Listrik"
"Sunday, August 11, 2019","65","Sukasari","Masih Dalam Penyelidikan"
"Monday, August 12, 2019","155","Gedebage","Masih Dalam Penyelidikan"
"Monday, August 12, 2019","62","Rancasari","Korsleting Listrik"
"Monday, August 12, 2019","715","Cinambo","Masih Dalam Penyelidikan"
"Tuesday, August 13, 2019","35","Sumur Bandung","Pembakaran Sampah"
"Tuesday, August 13, 2019","45","Astanaanyar","Masih Dalam Penyelidikan"
"Tuesday, August 13, 2019","30","Babakan Ciparay","Konsleting Listrik"
"Tuesday, August 13, 2019","232","Andir","Pengolahan Plastik"
"Friday, August 16, 2019","33","Cidadap","Masih Dalam Penyelidikan"
"Friday, August 16, 2019","52","Coblong","Pembakaran Sisa Potongan Rumput"
